thinkofPlayingGameDayLong,spendFreeTimeonGame,feelingofGameAddiction,playingLongerThenIntended,spendLargeTimeonGame,unableToStopPlaying,gamingToForgetRealLife,gamingToReleaseStress,gamingToFeelBetter,unableToReduceGaming,unsuccessfulInfluenceofOthers,angryIssue,stressIssue,unsocialIssue,fightIssue,breakofRelationship,tendToDeceive,sleepIssue,tendToloseHobbies,tendToNeglectImportantActivities,neckandBackPain,orthopedicIssues,eyesightIssue,hearingIssue,height,weight,tendToCocurricularActivities,tendToPresentClass,tendToPeerInterraction,cgpa,Varsity
Sometimes,Often,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,67,57,Sometimes,Sometimes,Never,2.50-3.00,BRAC
Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Sometime,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,66,61,Rarely,Sometimes,Sometimes,2.50-3.00,BRAC
Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometime,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,68,60,Rarely,Rarely,Never,3.00-3.50,BRAC
Often,Often,Somtimes,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Rarely,Rarely,66,59,Never,Often,Never,2.00-2.50,BRAC
Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,67,61,Rarely,Sometimes,Rarely,2.50-3.00,BRAC
Sometimes,Often,Somtimes,Often,Often,Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Rarely,Rarely,67,75,Rarely,Sometimes,Never,2.50-3.00,BRAC
Sometimes,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,66,56,Rarely,Rarely,Never,2.50-3.00,BRAC
Sometimes,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,68,68,Rarely,Sometimes,Sometimes,2.50-3.00,BRAC
Sometimes,Often,Somtimes,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,69,81,Rarely,Rarely,Rarely,2.50-3.00,BRAC
Often,Sometimes,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,67,66,Never,Sometimes,Rarely,2.50-3.00,BRAC
Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,67,77,Rarely,Sometimes,Rarely,2.50-3.00,BRAC
Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,68,62,Sometimes,Sometimes,Sometimes,2.50-3.00,BRAC
Sometimes,Often,Very Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Often,Often,Sometimes,Sometimes,Never,Rarely,Very Often,Very Often,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,66,70,Often,Rarely,Very Often,3.00-3.50,UIU
Rarely,Sometimes,Somtimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Sometimes,Never,62,55,Sometimes,Rarely,Sometimes,3.00-3.50,UIU
Sometimes,Often,Very Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Very Often,Often,Rarely,Rarely,Never,Never,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,66,65,Often,Rarely,Often,2.50-3.00,UIU
Sometimes,Often,Somtimes,Sometimes,Sometimes,Very Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Very Often,Rarely,Never,Never,Often,Sometimes,Sometimes,Often,Very Often,Sometimes,Rarely,60,50,Sometimes,Sometimes,Often,3.00-3.50,UIU
Very Often,Sometimes,Somtimes,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Often,Very Often,Often,Often,Sometimes,72,70,Sometimes,Rarely,Often,3.50-4.00,UIU
Often,Often,Somtimes,Often,Sometimes,Rarely,Never,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Never,Never,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,67,78,Sometimes,Rarely,Rarely,3.00-3.50,UIU
Sometimes,Often,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Sometime,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Never,Rarely,67,55,Sometimes,Rarely,Rarely,2.50-3.00,UIU
Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Never,Rarely,Sometime,Sometimes,Rarely,Never,Sometimes,Sometimes,Often,Rarely,Sometimes,66,49,Sometimes,Sometimes,Sometimes,2.00-2.50,UIU
Never,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,73,67,Sometimes,Never,Rarely,2.00-2.50,UIU
Rarely,Rarely,Somtimes,Sometimes,Never,Never,Rarely,Rarely,Very Often,Often,Sometimes,Sometimes,Rarely,Sometimes,Never,Often,Often,Never,Never,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,66,49,Sometimes,Rarely,Sometimes,2.00-2.50,UIU
Rarely,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,67,77,Sometimes,Sometimes,Rarely,2.50-3.00,UIU
Sometimes,Sometimes,Often,Very Often,Sometimes,Often,Very Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,72,64,Often,Sometimes,Often,2.50-3.00,UIU
Sometimes,Sometimes,Often,Often,Often,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometime,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,66,70,Sometimes,Sometimes,Sometimes,2.50-3.00,UIU
Sometimes,Sometimes,Somtimes,Rarely,Sometimes,Sometimes,Often,Often,Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Never,Rarely,Often,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Often,Rarely,62,56,Rarely,Rarely,Very Often,2.00-2.50,UIU
Rarely,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Often,Sometimes,Rarely,Often,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Never,60,67,Sometimes,Rarely,Sometimes,2.50-3.00,UIU
Often,Often,Rarely,Sometimes,Often,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Never,Often,Sometimes,Never,Very Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,60,67,Rarely,Sometimes,Very Often,2.00-2.50,UIU
Rarely,Never,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Often,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,Very Often,Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,60,67,Sometimes,Sometimes,Sometimes,2.50-3.00,UIU
Sometimes,Sometimes,Often,Very Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,65,60,Rarely,Rarely,Sometimes,3.00-3.50,UIU
Never,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Often,Never,Rarely,Never,67,63,Sometimes,Rarely,Sometimes,3.00-3.50,UIU
Very Often,Rarely,Somtimes,Often,Never,Rarely,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,65,66,Sometimes,Rarely,Sometimes,3.00-3.50,UIU
Sometimes,Never,Somtimes,Sometimes,Rarely,Never,Often,Often,Very Often,Often,Never,Sometimes,Rarely,Often,Sometimes,Never,Never,Never,Sometimes,Often,Never,Never,Never,Never,67,64,Never,Very Often,Often,2.50-3.00,UIU
Never,Never,Never,Never,Never,Never,Often,Often,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,65,48,Rarely,Sometimes,Sometimes,3.50-4.00,UIU
Rarely,Rarely,Often,Often,Rarely,Often,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,66,72,Sometimes,Rarely,Often,3.50-4.00,UIU
Rarely,Often,Somtimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,66,55,Rarely,Rarely,Rarely,2.50-3.00,UIU
Sometimes,Often,Very Often,Very Often,Very Often,Often,Sometimes,Very Often,Often,Sometimes,Very Often,Sometimes,Often,Sometimes,Very Often,Sometime,Sometimes,Often,Very Often,Often,Very Often,Very Often,Sometimes,Often,69,73,Sometimes,Rarely,Very Often,3.50-4.00,UIU
Often,Often,Somtimes,Often,Sometimes,Often,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Never,Never,Never,Very Often,Rarely,Rarely,Rarely,Sometimes,Very Often,Sometimes,Often,68,72,Sometimes,Often,Often,2.50-3.00,UIU
Rarely,Sometimes,Never,Never,Sometimes,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Often,Very Often,Rarely,67,52,Sometimes,Never,Sometimes,3.00-3.50,UIU
Often,Sometimes,Somtimes,Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Often,Often,Often,Very Often,Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,62,55,Sometimes,Sometimes,Rarely,2.50-3.00,UIU
Sometimes,Often,Somtimes,Often,Often,Often,Rarely,Often,Often,Often,Very Often,Sometimes,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,72,74,Often,Often,Rarely,2.50-3.00,UIU
Often,Often,Somtimes,Often,Often,Very Often,Very Often,Very Often,Very Often,Sometimes,Very Often,Often,Very Often,Sometimes,Often,Sometime,Very Often,Very Often,Very Often,Often,Very Often,Sometimes,Very Often,Very Often,62,78,Rarely,Very Often,Rarely,2.00-2.50,UIU
Sometimes,Often,Somtimes,Very Often,Sometimes,Often,Very Often,Very Often,Often,Sometimes,Very Often,Sometimes,Often,Often,Often,Sometime,Often,Very Often,Very Often,Often,Very Often,Rarely,Very Often,Often,59,72,Rarely,Often,Sometimes,2.50-3.00,UIU
Very Often,Very Often,Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Often,Very Often,Often,Very Often,Often,Very Often,Sometime,Often,Very Often,Very Often,Often,Very Often,Sometimes,Very Often,Often,60,73,Rarely,Often,Rarely,1.50-2.00,UIU
Sometimes,Sometimes,Often,Rarely,Sometimes,Often,Never,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Never,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Never,63,62,Rarely,Very Often,Sometimes,3.00-3.50,UIU
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Never,Often,Often,Sometimes,Sometimes,Often,Often,Often,Never,71,75,Sometimes,Very Often,Sometimes,3.00-3.50,UIU
Rarely,Sometimes,Never,Rarely,Never,Never,Never,Rarely,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Often,Rarely,69,56,Sometimes,Very Often,Sometimes,3.50-4.00,UIU
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Often,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Sometimes,Sometime,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,62,60,Sometimes,Very Often,Very Often,2.50-3.00,UIU
Sometimes,Sometimes,Somtimes,Sometimes,Rarely,Often,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Often,Sometime,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,60,56,Sometimes,Often,Sometimes,3.00-3.50,UIU
Sometimes,Sometimes,Somtimes,Sometimes,Rarely,Often,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Often,66,54,Rarely,Sometimes,Sometimes,3.00-3.50,UIU
Often,Often,Somtimes,Sometimes,Sometimes,Rarely,Rarely,Often,Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,63,56,Sometimes,Often,Sometimes,3.00-3.50,UIU
Sometimes,Sometimes,Somtimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,Often,Rarely,Sometimes,Rarely,Sometimes,Sometimes,64,56,Sometimes,Often,Sometimes,3.00-3.50,UIU
Often,Rarely,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Often,Rarely,Rarely,Sometimes,Often,Often,61,54,Sometimes,Sometimes,Rarely,3.00-3.50,UIU
Often,Rarely,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,60,50,Sometimes,Often,Rarely,3.00-3.50,UIU
Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Often,60,56,Sometimes,Sometimes,Sometimes,3.00-3.50,UIU
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,60,56,Sometimes,Sometimes,Sometimes,3.00-3.50,UIU
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,60,56,Sometimes,Sometimes,Sometimes,3.00-3.50,UIU
Sometimes,Sometimes,Somtimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,60,56,Sometimes,Sometimes,Sometimes,3.00-3.50,UIU
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,60,56,Sometimes,Sometimes,Sometimes,3.00-3.50,UIU
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Often,Often,60,56,Sometimes,Sometimes,Sometimes,3.00-3.50,UIU
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Very Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,60,56,Often,Often,Sometimes,3.00-3.50,UIU
Sometimes,Often,Rarely,Often,Often,Often,Often,Often,Often,Often,Often,Rarely,Sometimes,Often,Rarely,Sometime,Often,Very Often,Sometimes,Often,Very Often,Very Often,Often,Rarely,63,65,Sometimes,Often,Often,3.00-3.50,UIU
Never,Often,Never,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,62,47,Often,Very Often,Often,3.50-4.00,UIU
Often,Often,Rarely,Very Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Rarely,Very Often,Very Often,Very Often,Often,Often,Sometimes,Very Often,Never,66,62,Often,Often,Often,3.00-3.50,UIU
Rarely,Often,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Often,Never,68,64,Often,Very Often,Often,3.50-4.00,UIU
Never,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,64,60,Sometimes,Sometimes,Sometimes,2.50-3.00,UIU
Never,Rarely,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Rarely,Rarely,63,-71,Sometimes,Very Often,Very Often,3.50-4.00,UIU
Sometimes,Often,Somtimes,Sometimes,Rarely,Never,Never,Sometimes,Rarely,Never,Sometimes,Never,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Rarely,Never,71,75,Sometimes,Very Often,Often,3.00-3.50,UIU
Often,Very Often,Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Sometimes,Very Often,Very Often,Often,Very Often,Often,Sometime,Very Often,Sometimes,Very Often,Often,Very Often,Often,Very Often,Very Often,63,78,Never,Often,Rarely,1.50-2.00,UIU
Sometimes,Sometimes,Rarely,Very Often,Often,Very Often,Very Often,Often,Often,Often,Often,Sometimes,Often,Often,Rarely,Rarely,Often,Very Often,Often,Sometimes,Often,Sometimes,Very Often,Rarely,69,70,Often,Often,Sometimes,3.00-3.50,UIU
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,64,56,Sometimes,Very Often,Sometimes,2.50-3.00,UIU
Rarely,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,Sometimes,Very Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,65,76,Sometimes,Rarely,Rarely,2.50-3.00,UIU
Sometimes,Never,Rarely,Often,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,65,55,Never,Often,Sometimes,2.50-3.00,UIU
Rarely,Rarely,Somtimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Often,Rarely,Sometimes,Rarely,Sometime,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,67,67,Sometimes,Rarely,Sometimes,3.00-3.50,UIU
Sometimes,Often,Rarely,Sometimes,Rarely,Often,Sometimes,Often,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Often,Sometimes,Never,Rarely,Sometimes,Never,Rarely,Never,62,65,Often,Very Often,Very Often,2.50-3.00,UIU
Never,Sometimes,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,65,46,Never,Never,Never,2.00-2.50,UIU
Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,65,59,Sometimes,Sometimes,Sometimes,2.50-3.00,UIU
Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,67,59,Rarely,Sometimes,Rarely,2.50-3.00,UIU
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometime,Often,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Sometimes,67,58,Sometimes,Sometimes,Sometimes,2.50-3.00,UIU
Sometimes,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,68,81,Rarely,Sometimes,Sometimes,2.50-3.00,UIU
Rarely,Sometimes,Somtimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,68,66,Rarely,Sometimes,Rarely,2.50-3.00,UIU
Sometimes,Rarely,Somtimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,67,61,Rarely,Sometimes,Rarely,2.50-3.00,UIU
Often,Often,Somtimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,66,61,Rarely,Sometimes,Rarely,2.50-3.00,UIU
Rarely,Rarely,Never,Never,Rarely,Never,Never,Sometimes,Sometimes,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,66,61,Often,Rarely,Often,3.00-3.50,UIU
Sometimes,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Often,Sometime,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,68,72,Sometimes,Rarely,Rarely,2.50-3.00,UIU
Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,68,79,Sometimes,Rarely,Sometimes,2.50-3.00,UIU
Often,Sometimes,Often,Often,Sometimes,Often,Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,67,68,Sometimes,Rarely,Sometimes,2.50-3.00,UIU
Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometime,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,6,83,Sometimes,Rarely,Sometimes,2.50-3.00,UIU
Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Rarely,Rarely,67,66,Rarely,Often,Sometimes,2.50-3.00,UIU
Often,Sometimes,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Often,Often,Often,Sometimes,Sometimes,Sometime,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,68,75,Rarely,Very Often,Sometimes,2.50-3.00,UIU
Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometime,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,67,59,Rarely,Often,Sometimes,2.50-3.00,UIU
Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Often,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Rarely,68,85,Rarely,Sometimes,Sometimes,2.50-3.00,UIU
Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Often,Very Often,Very Often,Very Often,Very Often,66,67,Rarely,Rarely,Rarely,2.00-2.50,UIU
